CPF,NOME,DATA DE NASCIMENTO,RUA,BAIRRO,CIDADE,ESTADO,TELEFONE,EMAIL,PESQUISA,CANAL DE ATEDIMENTO,MÊS,CARGO,ATENDENTE,RENDA
495.321.076-06,Luiz Henrique da Costa,1971-02-06,Travessa de Casa Grande,Santa Terezinha,Barbosa do Norte,Pará,+55 (62) 94909-6819,peixotorenan@example.org,Ruim,Chat,9,Camelô,8,4493
615.428.039-42,Arthur Gabriel Montenegro,1954-01-02,"Recanto de da Rosa, 33",Caiçaras,Castro de Cassiano,Mato Grosso do Sul,+55 (93) 9 8629 9062,ana-clara16@example.com,Ruim,Email,11,Físico nuclear,2,8814
324.516.087-90,Ryan Siqueira,1962-02-10,Alameda de Fogaça,Vila Santo Antônio Barroquinha,Rios de Goiás,Maranhão,+55 78 9 1088 5123,jcassiano@example.com,Péssimo,Email,5,Oftalmologista,9,2229
826.719.435-55,Srta. Pietra Jesus,1964-06-15,"Travessa de Moreira, 89",Colégio Batista,Pastor de Goiás,Paraná,+55 (035) 98053 2229,antoniosantos@example.org,Ótimo,Email,11,Produtor de audio visual,2,1674
348.601.592-33,Bryan Nascimento,1975-01-11,"Lagoa Maria Eduarda Nascimento, 58",Cabana Do Pai Tomás,Monteiro de da Luz,Sergipe,+55 (004) 99492-5829,emanuelcorreia@example.org,Ruim,Call,2,Engenheiro de materiais,8,7625
853.142.796-73,Joana Mendonça,2004-07-15,"Largo de Cardoso, 4",Delta,Rodrigues,São Paulo,+55 (81) 96644 7540,ydias@example.com,Regular,Call,3,Engenheiro elétrico,10,9883
531.870.926-59,Dr. Arthur Duarte,1958-10-27,"Fazenda Sabrina Fogaça, 37",Vila União,Barbosa,Mato Grosso,+55 (62) 9 7639 2036,cavalcanteemanuelly@example.net,Ótimo,Call,9,Biotecnólogo,10,5347
658.943.720-38,Joana Moraes,1990-12-24,Área Apollo Cardoso,Vila Nova Gameleira 3ª Seção,Farias do Galho,Distrito Federal,+55 (56) 9 4492 9547,jfernandes@example.org,Ótimo,Email,7,Baterista,5,4150
462.358.109-89,Benjamim Cavalcante,1948-12-09,"Colônia Viana, 2",Mirtes,Alves,Goiás,+55 (98) 9 7853-2576,marcos-viniciuspacheco@example.net,Regular,Chat,10,Turismólogo,10,4567
364.589.102-15,Rael da Paz,1948-03-31,"Vila de Silveira, 92",Novo Tupi,Cavalcante,Paraíba,+55 05 9 2412-7307,vicente19@example.net,Ruim,Chat,7,Guincheiro,10,3511
540.798.361-39,Bella Melo,1949-12-06,Vereda de Porto,Virgínia,das Neves de Santos,Bahia,+55 (59) 95566-6047,mateus90@example.com,Regular,Chat,5,Bartender,10,3733
710.428.639-03,Maria Flor Nogueira,1961-12-22,"Quadra de Silveira, 635",Lagoinha,Pereira,Distrito Federal,+55 17 9 8270-4287,sampaiodavi-lucas@example.com,Regular,Chat,6,Infectologista,10,4382
158.094.326-89,Sophie Farias,1974-04-02,"Estrada Rodrigues, 15",Alta Tensão 2ª Seção,da Mota de Fonseca,Mato Grosso,+55 (89) 9 8278-9508,ribeirorafaela@example.com,Ótimo,Chat,6,Guarda roupeiro,10,3999
702.968.413-31,Lorena Nascimento,1985-12-16,"Vale Siqueira, 72",Carmo,Melo de Correia,Bahia,+55 (73) 9 8170-8057,alicerocha@example.com,Bom,Email,6,Geradorista,2,9179
384.615.207-26,Maria Liz Cardoso,1953-05-14,"Morro de Silveira, 38",Vila Aeroporto,Nunes,São Paulo,+55 (91) 9 8187-9821,ecarvalho@example.net,Regular,Call,11,Pianista,9,3480
426.083.759-10,Otávio da Rocha,1974-11-03,"Viaduto Lucas Barros, 45",Vila Vista Alegre,Costela,Rondônia,+55 (84) 94798 3885,eduarda75@example.com,Ruim,Email,8,Recepcionista,9,3327
601.372.498-96,Alexandre Lopes,2005-01-04,"Setor Nogueira, 84",Glória,Sousa de Pacheco,Alagoas,+55 (44) 9 1303 4220,vpires@example.org,Péssimo,Call,5,Mecanógrafo,4,7001
419.268.375-09,Sra. Catarina Fernandes,1950-01-11,"Distrito de da Paz, 293",Ermelinda,Pastor da Praia,Tocantins,+55 03 95047 4716,costelaluisa@example.org,Ruim,Email,2,Sociólogo,3,2967
890.423.615-06,Isabella Duarte,1985-10-23,"Largo de Pinto, 1",Vila Havaí,Dias,Rio Grande do Norte,+55 11 94223-8558,gabrielpastor@example.org,Ruim,Email,1,Pediatra,3,4235
381.472.569-73,Vitor Gabriel Pacheco,1991-05-13,"Feira Novais, 5",Betânia,Silva,Roraima,+55 (98) 9 1466-2126,levi02@example.net,Bom,Email,6,Atuário,2,6520
493.608.127-22,Maysa Cunha,2003-10-12,"Fazenda Peixoto, 77",Vila Independencia 2ª Seção,Rocha da Mata,Minas Gerais,+55 (43) 9 1138-9968,vieirabento@example.net,Péssimo,Chat,7,Skatista,5,1673
512.968.340-42,Maria Fernanda Albuquerque,1996-02-20,Estrada Marques,Vila Esplanada,Gonçalves Alegre,Distrito Federal,+55 48 9 4330 9542,leandronunes@example.com,Regular,Call,7,Vereador,2,7565
974.061.523-61,Matheus Andrade,1993-11-24,Estação Farias,Vila Real 1ª Seção,Caldeira,Roraima,+55 (033) 97371 4427,dantemendes@example.org,Regular,Call,6,Cartazeiro,1,2784
435.879.260-00,Sr. Antony Aragão,1978-12-11,"Viaduto Lopes, 56",Mineirão,Sales,Rio Grande do Sul,+55 (15) 91477 0981,ferreiradavi-lucas@example.org,Bom,Call,9,Patologista oral,2,3518
570.249.816-01,Ana Luiza Aragão,1974-09-25,Feira Diego Abreu,Alto Dos Pinheiros,Souza de Minas,Paraná,+55 (082) 92174-5467,liam75@example.net,Péssimo,Email,10,Tapeceiro,3,6995
496.132.875-82,Hellena Pimenta,1953-12-10,"Rua Marques, 64",Camponesa 2ª Seção,Costa,Pará,+55 (030) 91060 2368,liviabrito@example.net,Regular,Chat,4,Tecelão,1,5614
950.734.861-10,Srta. Hellena Marques,1971-05-03,"Conjunto Maria Eduarda Almeida, 7",São Salvador,da Rocha,Acre,+55 (32) 92280 8505,benicio09@example.org,Regular,Email,3,Esgrimista,1,5521
637.051.942-16,Davi Lucas Ribeiro,2005-05-15,"Fazenda Sophia Gomes, 6",Solar Do Barreiro,Novaes de Minas,Alagoas,+55 (02) 96183-5503,helena69@example.net,Bom,Email,1,Embalador,9,7793
345.860.217-80,Emilly Machado,1980-07-02,"Loteamento Casa Grande, 658",Universitário,Santos de Sales,Rio de Janeiro,+55 65 9 3768-1018,emillycirino@example.com,Péssimo,Call,8,Investigador particular,6,2207
846.159.723-00,Diogo Pinto,1957-04-30,"Praça Pedro Lucas Moraes, 444",Ventosa,Jesus Paulista,Paraná,+55 (63) 98752 0195,renan02@example.org,Bom,Call,3,Obstetra,8,2998
693.084.571-00,Milena Barbosa,1978-08-21,"Condomínio Vitor Gabriel Campos, 850",São Damião,Sá da Praia,Alagoas,+55 (26) 9 6770-6523,miguel48@example.net,Péssimo,Call,2,Pediatra,7,8152
230.164.789-78,Gustavo Henrique Almeida,1992-10-20,"Rua Enzo Jesus, 3",Aarão Reis,Pinto,Rio Grande do Norte,+55 59 9 8314-3007,sda-cruz@example.org,Péssimo,Call,10,Mágico,4,6975
837.165.240-26,Daniela Ramos,1965-07-02,"Rua Marcelo Brito, 86",Vila Da Paz,Rodrigues do Norte,Rio Grande do Norte,+55 19 9 1247-4262,vasconcelosmaria-isis@example.com,Ótimo,Chat,7,Engenheiro têxtil,4,4577
364.809.157-39,Theodoro Machado,1976-06-15,"Favela das Neves, 413",Mirtes,Souza Grande,Paraíba,+55 (085) 91668 1284,nda-costa@example.org,Péssimo,Chat,6,Intérprete de Bíblias,2,9172
853.724.016-80,Anthony Correia,1974-07-14,"Loteamento Marques, 18",Vila São Gabriel Jacui,Pacheco,Pernambuco,+55 10 90422-9210,da-costaisis@example.org,Péssimo,Chat,1,Eletricista de automóveis,5,2849
896.034.725-65,Srta. Joana da Cunha,1971-02-01,"Quadra de Aparecida, 773",Comiteco,Cassiano de Câmara,Pará,+55 (021) 93552-5510,liviaoliveira@example.net,Bom,Call,5,Produtor editorial,3,8989
928.035.674-74,Vinícius Aparecida,1976-01-03,"Estação Pedro Lucas Camargo, 51",Vila Formosa,Fonseca,Alagoas,+55 24 99660 7552,augusto39@example.com,Ótimo,Call,1,Repórter,4,4073
019.243.756-99,Dr. Arthur Gabriel Sousa,1992-06-29,Conjunto Aparecida,Vila Antena,Freitas,Acre,+55 53 96033-4087,xgomes@example.org,Péssimo,Email,2,Lubrificador de máquinas,6,4744
530.196.278-77,Lara Oliveira,1982-01-07,"Lagoa Moura, 10",Vila Madre Gertrudes 1ª Seção,Fonseca de Minas,Maranhão,+55 69 9 3839-7567,enrico40@example.org,Bom,Call,12,Neurocirurgião,5,7041
267.509.138-30,Henry Rios,1959-03-04,Travessa João Miguel Macedo,Minas Caixa,da Cunha,Goiás,+55 (72) 9 9264 7506,dleao@example.com,Péssimo,Email,7,Passador,3,7882
374.501.869-93,Julia Ribeiro,1986-11-29,"Vila de da Luz, 546",Flamengo,Costela,Tocantins,+55 (76) 9 1403 6352,marinacassiano@example.org,Ruim,Chat,1,Gestor de tecnologia da informação,1,3135
708.391.526-12,Antony Costa,1996-02-07,"Favela Caldeira, 1",Vila Jardim Leblon,Marques de Minas,Minas Gerais,+55 (05) 92856-1863,piresvitor@example.com,Regular,Call,5,Almoxarife,2,4257
796.285.140-67,Bruno Martins,1969-08-25,"Parque Rafaela Costa, 36",Vila Esplanada,Duarte,Tocantins,+55 77 91058-3104,nunesigor@example.com,Bom,Chat,6,Serventuário,9,2698
579.680.432-47,Isadora Vasconcelos,1951-12-24,"Lagoa de das Neves, 74",Fazendinha,Abreu Alegre,Amapá,+55 49 93733-4208,mayacampos@example.com,Bom,Chat,11,Produtor de audio visual,9,8874
329.068.451-24,Dra. Agatha Lima,1951-01-17,Condomínio Pietro Caldeira,Dom Silverio,Oliveira,Rondônia,+55 75 9 1970 1821,cauapastor@example.org,Regular,Chat,5,Estatístico,10,7996
817.632.045-53,José Pedro Melo,1985-02-28,"Via de da Conceição, 28",Nova Cintra,Leão,Maranhão,+55 23 91231 7887,uda-mota@example.org,Péssimo,Email,5,Mensageiro,10,1758
917.048.253-50,Enrico Casa Grande,1972-01-29,"Setor Gonçalves, 5",Jardim Alvorada,Lima do Sul,Piauí,+55 (37) 9 0344-6788,souzatheodoro@example.com,Regular,Email,1,Quadrinista,10,4611
596.782.341-73,Dr. Davi da Mota,1992-10-07,"Avenida de Moraes, 29",Renascença,Macedo da Mata,Rondônia,+55 32 9 9673-1538,sabrina36@example.com,Péssimo,Email,9,Adestrador de animais,5,5952
481.263.795-37,Thiago Teixeira,1976-03-11,"Lago de Machado, 97",Casa Branca,Sampaio,Paraíba,+55 (62) 9 4575-8118,luiz-felipe79@example.net,Péssimo,Chat,10,Laboratorista,2,6691
439.108.567-48,Dra. Mirella Ramos,1975-08-07,"Rua Paulo Guerra, 2",Vila Novo São Lucas,Silveira de Barbosa,Mato Grosso,+55 (78) 9 6469 0869,zda-paz@example.net,Péssimo,Email,10,Prefeito,9,8737
796.428.105-49,Gustavo da Cunha,2003-01-04,"Loteamento Pastor, 48",Jardim Felicidade,da Rosa das Pedras,Minas Gerais,+55 52 99715 4287,monteiroenzo-gabriel@example.com,Ruim,Call,12,Engenheiro de energia,5,7027
